Module,Script,Status,Run_date,Input,Output,Notes
CellChat/LR analysis,08_CellChat_LR_make_S26.R,PASS,2026/9/10,Reporting source tables; frozen Supplementary Figure S26 specification,results/figures/CellChat_LR_validation/Supplementary_Figure_S26*,Supplementary Figure S26 generated. Sensitivity visualization completed.
CellChat/LR analysis,09_CellChat_LR_make_Supplementary_Tables_S24_S26.R,PASS,2026/9/10,Consolidated reporting tables; frozen supplementary table specifications,results/tables/CellChat_LR_reporting/Supplementary_Table_S24_CellChat_candidate_LR.xlsx; Supplementary_Table_S25_CosMx_LR_K20.xlsx; Supplementary_Table_S26_CosMx_LR_kNN_sensitivity.xlsx,Pure XLSX export completed. Reporting tables generated without modification of analytical framework.
CellChat/LR analysis,10_CellChat_LR_compare_with_frozen.R,PASS,2026/9/10,Current rebuilt outputs; frozen authority references: CellChat LR frozen outputs; CosMx spatial LR frozen outputs; frozen reporting source tables,results/audit/14_CellChat_LR_sequential_reproduction_check/,Frozen authority reproduction audit PASS. Current outputs reproduced frozen references. Blocking failures=0. Decision: READY_FOR_PUBLIC_FREEZE.
Additional robustness,01_GSE244983_patient_level_summary.R,PASS,2026/9/10,GSE244983 annotated single-cell object + patient metadata + frozen four-state gene-set configuration,results/tables/additional_robustness/S29_patient_level; results/intermediate/GSE244983,Clean reproduction checkpoint PASS. Patient-level robustness summary generated.
Additional robustness,01_make_S29_patient_level_structure.R,PASS,2026/9/10,GSE244983 patient-level state summaries + lineage gate definitions,results/tables/additional_robustness/S29_patient_level; results/reporting/additional_robustness/S29_patient_level,Clean reproduction checkpoint PASS. S29 reporting sources generated.
Additional robustness,02_ICB_cross_cohort_comparability.R,PASS,2026/9/10,GSE78220 external expression matrix + GSE78220 state scores + GSE91061 pretreatment expression matrix + GSE91061 state scores + frozen ICBcomb four-state gene sets,results/tables/cross_cohort_harmonization; results/intermediate/cross_cohort_harmonization,"Clean reproduction checkpoint PASS. Cross-cohort harmonization, ComBat batch-only correction, AUC, bootstrap and permutation analyses completed."
Additional robustness,02_make_S30_cross_cohort_robustness.R,PASS,2026/9/10,Cross-cohort harmonization outputs + S30 reporting source tables,results/reporting/additional_robustness/S30_cross_cohort,Clean reproduction checkpoint PASS. Supplementary Figure S30 reporting sources generated.
Additional robustness,03_statistical_testing_inventory.R,PASS,2026/9/10,Additional robustness statistical testing definitions and inventory sources,results/tables/additional_robustness,Clean reproduction checkpoint PASS. Statistical testing inventory generated.
Additional robustness,03_make_Table_S29_statistical_analysis_summary.R,PASS,2026/9/10,Statistical testing inventory source tables,results/tables/Supplementary Table S29. Statistical analysis and multiple-testing summary.xlsx,Clean reproduction checkpoint PASS. Supplementary Table S29 exported.
Additional robustness,04_make_Table_S30_cross_cohort_comparability.R,PASS,2026/9/10,Cross-cohort robustness canonical outputs + S30 reporting source tables,results/tables/Supplementary Table S30. Quantitative cross-cohort comparability analysis of predefined tumor-immune state associations between GSE78220 and GSE91061.xlsx,Clean reproduction checkpoint PASS. Supplementary Table S30 exported.
Additional robustness,15_Additional_robustness_reproduction_check.R,PASS,2026/9/10,S29/S30 reproduction audit outputs + cross-cohort reproducibility gates + MD5 manifests,results/audit/15_Additional_robustness_reproduction_check,Final reproduction checkpoint PASS. Blocking failures: 0. Decision: READY_FOR_PUBLIC_FREEZE.
ICBcomb analysis,01_ICBcomb_source_lock_audit.R,PASS,2026/9/11,ICBcomb_INPUT_FREEZE_v1.0 SHA256 manifest + frozen raw platform result files + canonical query gene-set bundle,results/audit/source_lock_audit; source-lock validation outputs,Clean reproduction checkpoint PASS. Input freeze SHA256: 86/86 PASS.
ICBcomb analysis,02_ICBcomb_build_source_tables.R,PASS,2026/9/11,Frozen ICBcomb historical reference tables + raw platform results + query gene-set bundle,results/tables/ICBcomb source tables and Figure 9 source tables,Clean reproduction checkpoint PASS. Raw rows: 45; positive NES rows: 42; frozen numerical-reference comparisons: 9/9 PASS.
ICBcomb analysis,03_make_Figure9_ICBcomb.R,PASS,2026/9/11,ICBcomb rebuilt source tables + frozen Figure 9 reporting specification,results/figures/Figure9_ICBcomb PNG/JPG/PDF outputs,Figure 9 rebuild PASS. Source rows 3/10/12/3.
ICBcomb analysis,04_make_Supplementary_Figure_S27.R,PASS,2026/9/11,ICBcomb reporting source tables + frozen Supplementary Figure S27 specification,results/figures/Supplementary_Figure_S27 outputs,S27 reporting rebuild PASS. Mapped rows 15/15/15.
ICBcomb analysis,05_make_Supplementary_Figure_S28.R,PASS,2026/9/11,ICBcomb state-strategy source tables + frozen Supplementary Figure S28 specification,results/figures/Supplementary_Figure_S28 outputs,S28 reporting rebuild PASS. State-strategy rows: 10; positive supporting rows: 42.
ICBcomb analysis,06_make_Supplementary_Tables_S27A_S27B.R,PASS,2026/9/11,ICBcomb source tables + Figure 9 source tables + supplementary table specifications,results/tables/Supplementary_Tables_S27A_S27B.xlsx,Supplementary Tables S27A/S27B rebuild PASS.
ICBcomb analysis,07_ICBcomb_post_rebuild_audit.R,PASS,2026/9/11,Rebuilt Figure 9/S27/S28 outputs + frozen audit criteria,results/audit/ICBcomb post-rebuild audit outputs,Post-rebuild gates: 6/6. Decision: READY_FOR_MODULE_FREEZE.
Figure generation,00_plot_helpers.R,PASS,2026/9/11,ggplot2 plotting layer; loaded by run_all_figures_sequential.R before all figure scripts,Shared function layer only; no standalone figure artifact,Shared dependency loaded successfully before STEP 1; resolves clean-session safe_ggsave dependency.
Figure generation,Figure_2.R,PASS,2026/9/11,results/tables/bulk_discovery/GSE244982_final_tumor_immune_state_scores.csv,results/figures/bulk_discovery/Figure 2. Predefined tumor–immune state scores in GSE244982.pdf; .jpg,Clean sequential execution PASS.
Figure generation,Figure_3.R,PASS,2026/9/11,results/intermediate/GSE244983/GSE244983_seurat_major_annotated.rds; results/tables/ICBcomb_final_input_gene_sets_CLEAN/02_final_ICBcomb_gene_sets/final_ICBcomb_gene_sets_CLEAN.gmt; results/tables/bulk_discovery/GSE244982_final_state_signature_mapping.csv,results/figures/scRNA_major_program_localization/Figure 3. Single-cell localization of predefined tumor-immune state scores in GSE244983.pdf; .jpg,Clean sequential execution PASS. Non-blocking ggplot colour-scale replacement message emitted.
Figure generation,Figure_4.R,PASS,2026/9/11,results/intermediate/GSE244983/GSE244983_seurat_major_annotated.rds; scripts/figures/00_plot_helpers.R,results/figures/scRNA_major_annotation/Figure 4. Single-cell evidence for a CAF-stromal-associated component.pdf; .jpg,Clean-session PASS after shared helper hardening; no dependence on prior interactive session.
Figure generation,Figure_5.R,PASS,2026/9/11,results/intermediate/GSE244983/GSE244983_seurat_state_localized.rds,results/figures/scRNA_malignant_subclustering/Figure 5. Malignant-cell subclustering and tumor-intrinsic program heterogeneity in GSE244983.pdf; .jpg; data_processed/GSE244983_malignant_subclustered.rds,Clean sequential execution PASS. Seurat dimensional/RunUMAP default-method and ggplot scale warnings were non-blocking.
Figure generation,Figure_6.R,PASS,2026/9/11,data_processed/GSE244983_malignant_subclustered.rds,results/figures/scRNA_malignant_program_split/Figure 6. Separable tumor-intrinsic programs within malignant-cell subclusters.pdf; .jpg,Clean sequential execution PASS.
Figure generation,Figure 7.R,PASS,2026/9/11,GSE78220 external-validation response/survival sources defined in script (input paths not echoed by runner),results/tables/external_validation/GSE78220_external_state_scores_WITH_OS.csv; GSE78220_overall_survival_cox_STANDARDIZED.csv; GSE78220_nonresponse_AUC_WITH_95CI_WITH_OS_REMERGED.csv; results/figures/external_validation/Figure 7...pdf; .jpg,Clean sequential execution PASS.
Figure generation,Figure 8.R,PASS,2026/9/11,Visium spatial melanoma reporting sources defined in script (input paths not echoed by runner),results/figures/spatial_melanoma_validation/Figure 8. Spatial co-enrichment of dual-high tissue regions in Visium melanoma tissue.png; .jpg; .pdf,Reporting assembly completed successfully.
Figure generation,Figure_9_Supplementary Figure S27_Supplementary Figure S28.R,PASS,2026/9/11,ICBcomb canonical reporting sources defined in script,Figure 9 + Supplementary Figure S27 + Supplementary Figure S28 reporting outputs,Clean sequential execution PASS.
Figure generation,Supplementary Figure S2.R,PASS,2026/9/11,GSE244982 bulk PCA/detected-gene reporting sources defined in script,results/figures/bulk_discovery/Supplementary Figure S2. Bulk PCA and detected-gene assessment in GSE244982.png; .jpg; .pdf,Clean sequential execution PASS.
Figure generation,Supplementary Figure S3.R,PASS,2026/9/11,results/tables/bulk_discovery/GSE244982_final_tumor_immune_state_scores.csv; results/tables/bulk_discovery/GSE244982_bulk_raw_signature_scores.csv,results/figures/bulk_discovery/Supplementary Figure S3. Bulk state-score heatmap and raw gene-set z-mean visualization in GSE244982.png; .jpg; .pdf,Clean sequential execution PASS.
